x,y,z,value,isolevel,classical_residual,quantum_ev,y_true,y_pred,abs_ev_err,abs_dist_to_iso,error_kind
12,21,16,0.4891915300538273,0.5,-0.010808469727635384,0.004484304932735439,1,0,0.015292774660370823,0.010808469946172683,false_inside
13,10,16,0.5263923573053851,0.5,0.026392357423901558,-0.0024154589371980784,0,1,0.028807816361099636,0.02639235730538514,false_outside
13,12,20,0.5136757969535651,0.5,0.013675796799361706,-0.01072124756335291,0,1,0.024397044362714615,0.013675796953565134,false_outside
14,12,21,0.4773793687398574,0.5,-0.022620631381869316,0.0038816108685104656,1,0,0.02650224225037978,0.022620631260142576,false_inside
14,18,10,0.5136757969535651,0.5,0.013675796799361706,-0.02642424242424246,0,1,0.04010003922360417,0.013675796953565134,false_outside
14,20,11,0.4891915300538273,0.5,-0.010808469727635384,0.0012503125781445634,1,0,0.012058782305779947,0.010808469946172683,false_inside
15,9,15,0.4891915300538273,0.5,-0.010808469727635384,0.034102306920762326,1,0,0.04491077664839771,0.010808469946172683,false_inside
15,10,19,0.4891915300538273,0.5,-0.010808469727635384,0.01810066947681621,1,0,0.028909139204451595,0.010808469946172683,false_inside
15,11,11,0.5012833853592303,0.5,0.0012833853252232075,-0.0073135056070210425,0,1,0.00859689093224425,0.001283385359230338,false_outside
15,16,9,0.4891915300538273,0.5,-0.010808469727635384,0.016464891041162222,1,0,0.027273360768797605,0.010808469946172683,false_inside
15,16,22,0.4891915300538273,0.5,-0.010808469727635384,0.0051082461688153336,1,0,0.015916715896450717,0.010808469946172683,false_inside
15,20,11,0.5012833853592303,0.5,0.0012833853252232075,-0.005730659025787954,0,1,0.007014044351011162,0.001283385359230338,false_outside
15,21,19,0.4891915300538273,0.5,-0.010808469727635384,0.015929203539822967,1,0,0.02673767326745835,0.010808469946172683,false_inside
16,10,18,0.5263923573053851,0.5,0.026392357423901558,-0.009799118079372837,0,1,0.036191475503274395,0.02639235730538514,false_outside
16,11,20,0.5012833853592303,0.5,0.0012833853252232075,-0.02564102564102555,0,1,0.026924410966248757,0.001283385359230338,false_outside
